"filename", "language", "JSON with Comments", "JSON", "PostCSS", "TypeScript", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\inicio\inicio.component.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\iniciosesion\iniciosesion.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\iniciosesion\iniciosesion.component.html", "HTML", 0, 0, 0, 0, 32, 0, 23, 7, 62
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\iniciosesion\iniciosesion.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\iniciosesion\iniciosesion.component.ts", "TypeScript", 0, 0, 0, 60, 0, 0, 11, 14, 85
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\oferta\oferta.component.css", "PostCSS", 0, 0, 82, 0, 0, 0, 8, 11, 101
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\oferta\oferta.component.html", "HTML", 0, 0, 0, 0, 43, 0, 20, 11, 74
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\oferta\oferta.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 5, 23
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\oferta\oferta.component.ts", "TypeScript", 0, 0, 0, 156, 0, 0, 1, 7, 164
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\producto\producto.component.css", "PostCSS", 0, 0, 133, 0, 0, 0, 8, 18, 159
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\producto\producto.component.html", "HTML", 0, 0, 0, 0, 78, 0, 18, 16, 112
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\producto\producto.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\producto\producto.component.ts", "TypeScript", 0, 0, 0, 190, 0, 0, 31, 18, 239
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\quienessomos\quienessomos.component.css", "PostCSS", 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\quienessomos\quienessomos.component.html", "HTML", 0, 0, 0, 0, 24, 0, 0, 3, 27
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\quienessomos\quienessomos.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\quienessomos\quienessomos.component.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\registro\registro.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\registro\registro.component.html", "HTML", 0, 0, 0, 0, 46, 0, 6, 4, 56
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\registro\registro.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\paginas\registro\registro.component.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 8, 16, 60
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\servicios\product.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 5, 17
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\servicios\product.service.ts", "TypeScript", 0, 0, 0, 49, 0, 0, 13, 11, 73
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\shared\footer\footer.component.css", "PostCSS", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\shared\footer\footer.component.html", "HTML", 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\shared\footer\footer.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\shared\footer\footer.component.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\shared\navbar\navbar.component.css", "PostCSS", 0, 0, 15, 0, 0, 0, 0, 0, 15
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\shared\navbar\navbar.component.html", "HTML", 0, 0, 0, 0, 78, 0, 4, 18, 100
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\shared\navbar\navbar.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\app\shared\navbar\navbar.component.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 3, 9, 49
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\index.html", "HTML", 0, 0, 0, 0, 18, 0, 0, 1, 19
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\main.server.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 3, 8
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\main.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 3, 9
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\server.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 24, 8, 67
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\servicios\auth.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 5, 17
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\servicios\auth.service.ts", "TypeScript", 0, 0, 0, 58, 0, 0, 17, 21, 96
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\servicios\carrito.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 5, 17
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\servicios\carrito.service.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 7, 8, 58
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\servicios\servicios\favorito.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 5, 17
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\servicios\servicios\favorito.service.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 9, 33
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\src\styles.css", "PostCSS", 0, 0, 2, 0, 0, 0, 1, 3, 6
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\tsconfig.app.json", "JSON", 0, 17, 0, 0, 0, 0, 2, 1, 20
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\tsconfig.json", "JSON with Comments", 25, 0, 0, 0, 0, 0, 2, 1, 28
"c:\Users\rodri\OneDrive\Escritorio\proyectoprogFinal\tsconfig.spec.json", "JSON", 0, 13, 0, 0, 0, 0, 2, 1, 16
"Total", "-", 25, 15267, 669, 1490, 632, 36, 296, 526, 18941
